date/time,comment_id,fullname,text,likes,replyComment count
2018-09-22T03:01:40Z,UgwXPHpCsiaFfKgiI2Z4AaABAg,Amalina D,Damnn a few seconds in and I'm hooked.. 😍,0,0
2018-09-24T01:28:20Z,UgyaasoxBgXhK9YyNzx4AaABAg,ashrevz,"never related to a song so much in my life, but tHIS.",0,0
2018-09-17T05:20:07Z,Ugw6tb-LZi4V_Q_t2-Z4AaABAg,AM Outdoor,The album is not even out and I already LOVE IT!!! Can’t wait to see LANY October 27th at the Hollywood palladium❤️,0,0
2019-12-26T04:23:15Z,UgwH8JPqsfVSVzAS8uJ4AaABAg,Expert Travel and Visa Services,My 2019 song. So much memories😭❤️,2,0
2021-01-11T09:17:29Z,Ugxczm80Pgs_JfP6sQ14AaABAg,Jelena Marie Mendoza,"Thru thick and thin, Paul were here for you❤️",0,0
2019-02-02T23:50:43Z,UgxyhQk-cLpgmd_nwzt4AaABAg,Ringooo Gaming,Can’t wait for the mv. Drop daw on Monday. eggzoited hahahah 💓💓,1,1
2018-09-12T08:32:46Z,UgyReD6lwPfU0ZoQHc54AaABAg,Haley,dude i aint complaining if the whole album is all gonna be breakup songs (lowkey hoping there's at least one song thats kinda happy lol),114,1
2021-03-23T14:35:52Z,UgwG_jjvnhHp9PpAyOF4AaABAg,Gian Caguioa,"Only filipino people 

Mga nagkakalat sa comment section",1,0
2018-09-15T16:04:39Z,UgzILEbYe1-ECRn29dB4AaABAg,Jazmine Arnigo,when you can relate to the message of the song.,0,0
2018-09-16T04:13:16Z,Ugz1M3ougXmpUFSha0F4AaABAg,sophia,The drums remind me of 4EVER! Love it,0,0
2018-10-26T16:37:25Z,UgyIpNv4JT7LwGiYv894AaABAg,Autumn Nebula,LANY + HONNE = they are so WONDERFUL!!! ❤❤❤❤❤,0,0
2018-09-12T08:07:00Z,Ugxkq6b64gmfA0NaNBJ4AaABAg,Kristen Yang,Those 6 who clicked the dislike button thought that their lovers would be there thru thick and thin. But apparently left,99,1
2019-07-27T01:23:37Z,UgwIeylarBxBmxbl6mt4AaABAg,mik0000,I discover them through spotify and I am glad,0,0
